,sentence,fiscal_stance,Hirose,model_score,check_Hirosesan,Accuracy_rate_Hirosesan,check,Accuracy_rate,Accuracy_rate_positive_Hirosesan,Accuracy_rate_positive,Accuracy_rate_negative_Hirosesan,Accuracy_rate_negative,Accuracy_rate_zero_Hirosesan,Accuracy_rate_zero
0,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
1,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
2,"Efforts to advance global trade integration, lower financial stability risks, and address geopolitical spillovers remain vital",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
3,"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space, there is a case for more public investment",1,1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
4,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role",0,1.0,0,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
5,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
6,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
7,"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets.",-1,1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
8,"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play",1,1.0,1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
9,But medium-term risks to the sustainability remain unaddressed,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
10,"Overdoing fiscal adjustment in the short run to counter cyclical revenue losses will undercut activity further, diminish popular support for adjustment, and further undermine market confidence",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
11,"In the United States and Japan, policymakers should redouble efforts to formulate and implement credible medium-term consolidation plans",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
12,"Countries with policy space might consider slowing structural fiscal adjustment in 2012, while maintaining their commitment to a credible medium-term consolidation plan",1,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
13,"In other G-20 advanced economies, there remains an urgent priority to set out a credible path for fiscal consolidation over the medium-term",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
14,"Measures could include entitlement reforms including new health care and pension saving measures, caps on discretionary spending, and tax system reforms to boost fiscal revenue",-1,-1.0,1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
15,those facing very low funding costs should consider a slower pace of consolidation,1,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
16,"Putting in place such plans will also reinforce policy room to support balance sheet repair, growth, and job creation during this period of heightened vulnerability",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
17,"Countries should allow automatic stabilizers operate freely, provided they can secure funding for higher deficits",1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
18,"In the near term, sufficient fiscal adjustment is planned in most advanced economies",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
19,"In the United States, there is a risk that political paralysis could lead to an excessively rapid pace of deficit reduction, including an early expiry of the existing stimulus measures such as the payroll tax cut",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
20,Such developments would further undermine the already weak recovery.,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
21,"Fiscal consolidation must continue in many euro area economies, but it should be structured and paced to avoid a collapse in demand and growth",-1,0.0,-1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
22,Sufficient near-term fiscal adjustment is in train in most economies,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
23,"in those economies that can afford to do so, the pace of near-term fiscal consolidation should slow",1,0.0,1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
24,Automatic stabilizers should be allowed to operate fully,1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
25,"Also, rebalancing of global demand was viewed as not being strong enough to sustain high global growth and achieve low unemployment",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
26,"In particular, fiscal consolidation was assessed to be insufficient to decisively address sustainability issues in a number of advanced economies",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
27,The design of fiscal consolidation plans should be “growth friendly” to the extent possible in terms of its composition,1,0.0,1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
28,"To lessen the contractionary effect of the deficit reduction, part of it is financed through a growthsupporting shift in the composition of taxation from income to consumption",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
29,"Reducing public debt to more prudent (for example, pre-crisis) levels over the medium term is desirable for several reasons, including: (i) a need to rebuild fiscal space to deal with future shocks; (ii) possibly higher interest rates and lower potential growth given high public debt; and (iii) the need to prepare for formidable longer-term challenges on public finances— notably, rising health care costs and aging",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
30,"This would seem to require a sufficient scale of adjustment, more efficient redistribution of the tax burden and allocation of spending, as well as clear and effective communication of credible and coherent fiscal consolidation strategies",-1,0.0,-1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
31,The upside scenario explores the role of three core elements of the fiscal consolidation package,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
32,This could reinforce market concerns about debt sustainability,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
33,"Finally, fiscal actions that lower payroll taxes or other non-wage costs (for example, social security contributions) could also strengthen the employment effect in the upside",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
34,"Thus, elements of alternative policy scenarios should consider fiscal consolidation, notably in economies with large fiscal and external deficits",-1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
35,"Current account deficits would narrow in advanced deficit countries, matched by lower external surpluses in emerging and advanced surplus countries",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
36,"For the purpose of the upside scenario, based on Fund staff assessment of fiscal consolidation needs in each country or region, the (stylized) fiscal package is constructed as follows: For the United States",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
37,"On the back of lower potential, public finances would worsen given lower tax revenues and automatic stabilizers, pushing up interest rates with likely adverse feedback effects on growth and confidence",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
38,Fiscal consolidation in the event of deteriorating market sentiment and lower potential output would need to be stronger and more front-loaded to try to reassure markets,-1,-1.0,1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
39,"As credibility of fiscal policy increases over time, private spending is increasingly “crowded in.” Investment and employment increase and economic activity gains momentum, resulting in higher real GDP relative to the baseline over the medium term",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
40,"Within this realm, there are many possible options and an indicative set of policies considered here is as follows",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
41,Minimizing tax distortion is a key principle for the design,0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
42,This reflects insufficient rebalancing of global demand,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
43,"However, the policy measures boost growth significantly over the medium term for two reasons",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
44,"FISCAL CONSOLIDATION TO RESTORE SUSTAINABILITY IN ADVANCED ECONOMIES In the upside scenario, fiscal adjustment is underpinned, to the extent possible, by sound and “growth-friendly” policies, underscoring the role of credibility",-1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
45,"In this regard, credible and coherent fiscal plans should be clearly communicated as soon as possible",-1,0.0,-1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
46,"For advanced economies, the simulated fiscal consolidation lowers real GDP relative to the baseline, primarily reflecting lower disposable income and aggregate demand",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
47,"With less-than-full credibility of fiscal plans, private expectations anticipate some reversal or slippage in consolidation",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
48,These policy “layers” can be motivated as follows,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
49,More credible fiscal adjustment would mitigate but would not likely reverse the decline in domestic demand in those economies undergoing consolidation,0,0.0,1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
50,The timing and magnitude of consolidation should be tied to country circumstances,0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
51,"Major fiscal consolidation is needed in the years ahead in G-20 economies with high public deficits and debt.3 Different economic circumstances and policy needs across advanced economies would determine the timing, magnitude, and composition of consolidation at the individual country level",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
52,"Concretely, private expectations in the model align with the authorities’ fiscal consolidation objectives from this point onwards",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
53,"To restore sustainability of public finances, while mitigating the impact on growth, three core elements of fiscal consolidation would be instrumental: (i) sufficient scale to improve primary fiscal balances to stabilize public debt at prudent levels, given growth and interest rates; (ii) growth-friendly composition of fiscal measures to mitigate the dampening effect on demand, including through entitlement reform; and (iii) strengthened credibility of fiscal plans, including through clear and effective communication to market participants, to align market expectations with the authorities’ medium-term consolidation strategy",-1,0.0,-1,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
54,Weaker potential output would have adverse implication for fiscal positions,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
55,"If investors and consumers doubt that the package would be fully implemented, investment and employment responses over the near term would be weaker than otherwise",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
56,The set of policy options that could strengthen G-20 outcomes would require collaborative action across the membership,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
57,"The major policy actions considered across the G-20 include: (i) “growth-friendly” fiscal consolidation in advanced economies; (ii) structural reforms (including strengthening social safety nets) and sustained infrastructure spending in emerging surplus economies, accompanied by increased exchange rate flexibility; and (iii) structural reforms in advanced economies to tackle high unemployment and weaker potential output following the crisis",0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
58,The scale and composition of the package should take into account country-specific circumstances,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
59,"Driven by strong and credible consolidation, public finances would be returned onto a sustainable trajectory in G-20 advanced economies",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
60,"However, when compared with historical evidence relating to recovery from crises and staff’s analysis in the World Economic Outlook (WEO), growth projections appeared optimistic",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
61,"Second, with the supply of labor and capital relatively elastic over the longer term, while consumption demand is relatively inelastic, a shift of the tax burden towards consumption reduces distortions, and, therefore boosts output.",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
62,Credibility is defined in terms of what the private sector believes about a certain policy action,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
63,Credibility is a critical element for successful fiscal adjustment,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
64,"In particular: (i) sufficient scale; (ii) growthfriendly composition; and, (iii) strengthened credibility of fiscal plans, along the following lines",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
65,"Finally, it was assessed that stronger efforts to repair and reform the financial system was needed to support G-20 growth objectives, while safeguarding financial stability",-1,0.0,0,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
66,"The euro area current account would be broadly unchanged, but imbalances within the area would narrow",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
67,"Owing to large and credible fiscal consolidation, sovereign risk premia and long-term interest rates decline",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
68,"Consolidation plans should be strong, credible, and, to the extent possible, supportive of growth",-1,-1.0,1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
69,"In advanced economies, lower growth than projected in the MAP would result in lower tax revenues, higher-than-projected fiscal deficits, and rising public debt burdens (already at high levels)",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
70,Monetary policy mitigates the slowdown by remaining accommodative longer relative to the baseline,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
71,"However, if economic agents gain confidence in fiscal implementation, expectations would closely align with the goals of a (fully-credible) consolidation strategy",0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
72,"In the “base case,” fiscal deficits and debt levels in advanced economies are projected to remain large, notwithstanding favorable macroeconomic outcomes",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
73,"However, if economic agents have full credibility in fiscal plans, then, the growth-enhancing effects (for example, through lower interest rates) of the fiscal package would be realized sooner",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
74,These two elements constitute key elements of the downside scenario,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
75,Stronger fiscal consolidation would allow monetary accommodation to be maintained for a longer time to help support activity,0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
76,"To stabilize public debt at prudent levels, the scale of fiscal adjustment would need to be sufficiently strong, accounting for country-specific needs",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
77,This could weigh on the recovery and further raise market pressure in an environment of elevated uncertainty about sovereign debt risks,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
78,"Insufficiently credible adjustment plans may result in sharp increases of these risk premia— dampening growth in the affected economies, with an impact on public debt (both directly and indirectly)",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
79,"Where applicable, starting in 2011 additional consolidation is assumed relative to the plans in G-20 policy frameworks; all measures are phased in gradually over 5 years, with policies gaining full credibility by the third year of the consolidation plan (i.e., from 2013 onwards private expectations in the model are aligned with the authorities’ fiscal consolidation objectives in each country)",0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
80,"Total fiscal adjustment in the upside (including what is already in the baseline from G-20 policy frameworks) amounts to approximately 9½ and 6 percent of GDP in advanced deficit and advanced surplus economies, respectively",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
81,"Where applicable, additional consolidation starting in 2011 is assumed relative to the plans in G-20 policy frameworks; all measures are phased in gradually over 5 years, with policies gaining full credibility by the third year of the consolidation plan (i.e., in 2013)",0,0.0,-1,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
82,"The shift in tax composition—as part of the consolidation—increases overall tax revenues by ½ percent of GDP and is designed as follows (for the United States block in the model): consumption tax revenues increase by 5 percent of GDP (equivalent to an increase in consumption tax rates of about 8 percentage points), while labor and capital income tax revenues decrease by 4½ percent of GDP (equivalent to a cut of 6 percentage points of the underlying effective tax rates)",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
83,Key aspects of each component are elaborated below,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
84,"Recognizing that the effect of fiscal consolidation will partly depend on the composition of expenditure and tax instruments, the model examines the impact of: (i) lower taxes on capital and labor; (ii) higher taxes on consumption; and (iii) entitlement reform (through lower transfers) and some cuts in government consumption",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
85,"Against the backdrop of recent market developments, higher sovereign interest rate risk premia are a key risk belonging to the downside scenario",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
86,The fiscal deficit is reduced by 3 percentage points of GDP,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
87,"Credible fiscal consolidation over the medium term, underpinned by high-quality measures of sufficient magnitude, should be a top priority in advanced deficit economies given sovereign debt market stress and other fiscal risks",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
88,"Compared to the upside scenario, much larger fiscal consolidation would be needed to ensure the sustainability of public finances",0,-1.0,-1,True,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
89,"For example, a shift from payroll taxes to consumption tax (or VAT depending on country circumstances) facilitates fiscal consolidation by increasing employment and potential output",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
90,"Moreover, even assuming that the “base case” scenario materialized, the analysis identified some key weaknesses",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
91,Clear and effective communication of coherent consolidation plans and strengthening of budgetary institutions and frameworks would help fiscal credibility visà-vis the private sector,-1,-1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
92,"The scenario shows that fiscal consolidation alone—while supportive of growth in the medium term—in advanced G-20 economies would dampen growth in the short run, including for G-20 partner countries (Figure 1)",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
93,"Accordingly, monetary policy in advanced economies could afford to stay accommodative for a more extended period, since inflation pressures remain contained and inflation expectations are well anchored",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
94,Substantial budgetary effort would be required to restore fiscal soundness and to rebuild market confidence,-1,-1.0,0,False,76.41509433962264,False,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
95,Credibility is defined in terms of what the private sector believes about the fiscal policy action,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
96,Weaker external demand (relative to the baseline) from advanced partners more than offsets the benefits of lower interest rates globally,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
97,Fund staff assessment of macroeconomic and policy frameworks submitted by G-20 members identified several economic and policy issues and key risks,0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
98,"This box discusses a stylized package of fiscal policies designed to achieve fiscal consolidation, while supporting growth over the medium term",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
99,"There is a pressing need, in general, for fiscal consolidation in G-20 advanced economies",-1,-1.0,-1,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
100,"Moreover, the credibility of (forced) fiscal adjustment would likely be lower in a downside scenario, likely affecting the impact on private spending",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
101,"For emerging Asia and ROW, however, real GDP remains lower relative to the baseline over the projection horizon, given their high export dependence",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
102,The motivation behind the above fiscal package is to support growth over the medium term,0,1.0,0,False,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
103,"Finally, credibility is a critical element for successful fiscal adjustment",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
104,"Under partial credibility, markets anticipate some reversal or slippage in consolidation and thus, investment and employment responses over the near term would be weaker than otherwise",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
105,"Monetary policy accommodation could be maintained for a more extended period to help support activity, since inflation would remain contained as fiscal balances are strengthened",0,0.0,0,True,76.41509433962264,True,78.30188679245283,20.0,37.5,61.53846153846154,55.0,81.81818181818181,88.46153846153847
