index,sentence_x,subsentence_detail,monetary_policy,monetary_score,monetary_view_score,tense,sentence_y,hirose_san_score,hirose_san_topic,select,match_score,match_view
20150904_1_6_1_1,Structural reforms are needed to raise potential output in both advanced and emerging economies,0.0,False,0,0,0,Structural reforms are needed to raise potential output in both advanced and emerging economies,0.0,0.0,0.00605539873970351,1,1
20150209_1_13_1_1,The unbalanced recovery across economies suggests,0.0,False,0,0,0,The unbalanced recovery across economies suggests,0.0,0.0,0.0068065740689771115,1,1
20140219_1_10_1_1,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0.0,False,0,0,0,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0.0,0.0,0.010441902453201757,1,1
20130221_1_14_1_3,inflation expectations remain well anchored,0.0,False,0,0,0,inflation expectations remain well anchored,0.0,0.0,0.015296516534056726,1,1
20110709_1_21_1_3,"as is more common , authorities will have to react faster and more strongly .",0.0,False,0,0,0,"as is more common , authorities will have to react faster and more strongly .",0.0,0.0,0.01593895068036455,1,1
20100227_1_12_1_1,"Hence , on balance fiscal consolidation should generally take priority , all else given",0.0,False,0,0,0,"Hence , on balance fiscal consolidation should generally take priority , all else given",0.0,0.0,0.017904180235598588,1,1
20170705_1_4_1_3,while at the same time having positive spillovers to other euro area economies,0.0,False,0,0,0,while at the same time having positive spillovers to other euro area economies,0.0,0.0,0.019281798039891496,1,1
20150209_1_33_1_1,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0.0,False,0,0,0,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0.0,0.0,0.019508403547986775,1,1
20140917_1_7_1_2,which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0,False,0,0,0,which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0,0.0,0.020020910061754216,1,1
20140917_1_35_1_1,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0.0,False,0,0,0,"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0.0,0.0,0.020769453781090963,1,1
20160721_1_23_1_1,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0.0,False,0,0,0,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,0.0,0.0,0.02153809313931243,1,1
20111015_1_5_1_1,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0.0,False,0,0,0,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0.0,0.0,0.02172748662956525,1,1
20160226_4_11_1_2,policy frameworks are imperative for a turnaround in confidence and investment,0.0,False,0,0,0,policy frameworks are imperative for a turnaround in confidence and investment,0.0,0.0,0.0290572552129873,1,1
20151115_1_12_1_1,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",,True,1,1,past,"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0.0,0.0,0.029922383357475213,0,0
20140917_1_32_1_1,"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0.0,False,0,0,0,"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0.0,0.0,0.032825081548578106,1,1
20140219_1_12_1_4,where debt dynamics are a concern and fiscal space is limited,0.0,False,0,0,0,where debt dynamics are a concern and fiscal space is limited,0.0,0.0,0.0340271842551394,1,1
20151115_1_29_1_1,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0,False,0,0,0,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0,0.0,0.03447370119795101,1,1
20160721_1_26_1_1,"Even as vulnerabilities are addressed , emerging economies",0.0,False,0,0,0,"Even as vulnerabilities are addressed , emerging economies",0.0,0.0,0.03484416772671228,1,1
20100604_1_2_1_2,demand pressures may be preferable,0.0,False,0,0,0,demand pressures may be preferable,0.0,0.0,0.035428827683142594,1,1
20110415_1_10_1_1,"In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies",,True,1,1,future,"In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies",-1.0,1.0,0.035514469319631314,0,0
20130719_1_5_1_1,Monetary policy needs to remain accommodative,,True,1,1,present,Monetary policy needs to remain accommodative,0.0,1.0,0.03656109206545488,0,0
20100604_1_3_1_2,"where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening .",,True,-1,-1,future,"where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening .",-1.0,1.0,0.04278500639897376,1,1
20100227_1_9_1_2,"which can be reversed quickly , has few obvious direct downsides",0.0,False,0,0,0,"which can be reversed quickly , has few obvious direct downsides",0.0,0.0,0.04318886013167689,1,1
20130418_1_9_2_2,that benefits Japan and other economies,0.0,False,0,0,0,that benefits Japan and other economies,0.0,0.0,0.04379779652845728,1,1
20140219_1_17_1_1,"In the euro area , the overall fiscal stance planned for 2014 is neutral ",0.0,False,0,0,0,"In the euro area , the overall fiscal stance planned for 2014 is neutral ,",0.0,0.0,0.044166927089683616,1,1
20140917_1_25_1_1,This strikes the right balance between demand support and debt reduction,0.0,False,0,0,0,This strikes the right balance between demand support and debt reduction,0.0,0.0,0.04424862608822855,1,1
20151115_1_19_1_1,Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0.0,False,0,0,0,Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0.0,0.0,0.0461806525254953,1,1
20110218_1_1_1_1,Repair and reform of financial systems critical to the normalization of credit conditions in several countries and to prevent contagion needs to be accelerated,0.0,False,0,0,0,Repair and reform of financial systems critical to the normalization of credit conditions in several countries and to prevent contagion needs to be accelerated,0.0,0.0,0.0479615551192446,1,1
20130719_1_9_1_1,"One such option could be a longer term LTRO combined with a review of current collateral policies , particularly on loans to SMEs",0.0,False,0,0,0,"One such option could be a longer term LTRO combined with a review of current collateral policies , particularly on loans to SMEs",0.0,0.0,0.0481847642292772,1,1
20160226_4_6_1_1,"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions",,True,-1,-1,past,"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions",0.0,0.0,0.04863474818402025,0,0
20130905_1_5_1_1,"Widespread financial , fiscal , and structural impediments need to be addressed to bolster growth and financial stability",0.0,False,0,0,0,"Widespread financial , fiscal , and structural impediments need to be addressed to bolster growth and financial stability",0.0,0.0,0.048788048404383,1,1
20160226_4_11_1_1,"In Brazil , an appropriate macroeconomic policy mix and restored",0.0,False,0,0,0,"In Brazil , an appropriate macroeconomic policy mix and restored",0.0,0.0,0.054085652452791955,1,1
20100227_1_20_1_1,"In economies with broadly balanced external positions , monetary tightening may be complicated ",,True,0,0,past,"In economies with broadly balanced external positions , monetary tightening may be complicated ,",0.0,0.0,0.05432231327888426,1,1
20150209_1_36_1_1,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,0.0,False,0,0,0,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,0.0,0.0,0.05516783034536821,1,1
20120225_1_11_1_3,"as needed , further unconventional measures",,True,0,0,past,"as needed , further unconventional measures",0.0,0.0,0.055321609560272766,1,1
20111015_1_12_1_1,Monetary policy : maintain accommodation,0.0,False,0,0,0,Monetary policy : maintain accommodation,1.0,1.0,0.055650388390548144,0,0
20100904_1_20_1_1,Monetary policy has remained highly accommodative in many economies,0.0,False,0,0,0,Monetary policy has remained highly accommodative in many economies,0.0,0.0,0.056057414564567476,1,1
20141115_1_4_1_1,The timing of the policy rate increase should be attuned to inflation and labor market developments,,True,-1,-1,future,The timing of the policy rate increase should be attuned to inflation and labor market developments,0.0,1.0,0.05626854310633611,0,0
20090708_1_21_1_2,that inflation could rise rapidly,0.0,False,0,0,0,that inflation could rise rapidly,0.0,0.0,0.05644553397921814,1,1
20160721_1_8_1_1,"Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union",0.0,False,0,0,0,"Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union",0.0,0.0,0.05775204205065387,1,1
20130719_1_26_1_1,"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",0.0,False,0,0,0,"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",0.0,0.0,0.058477404258863386,1,1
20101021_1_4_1_2,regulatory uncertainty will strengthen financial systems and help catalyze rapid growth,0.0,False,0,0,0,regulatory uncertainty will strengthen financial systems and help catalyze rapid growth,0.0,0.0,0.058805208060836556,1,1
20110218_1_2_1_2,while unviable business models need to be unwound,0.0,False,0,0,0,while unviable business models need to be unwound,0.0,0.0,0.06013175135024362,1,1
20100904_1_2_1_1,Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,0.0,False,0,0,0,Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,0.0,0.0,0.06265533296068371,1,1
20150209_1_27_1_2,that has increased exposure to external funding risks in others,0.0,False,0,0,0,that has increased exposure to external funding risks in others,0.0,0.0,0.06708269803230815,1,1
20100604_1_2_1_3,if tighter monetary conditions risk exacerbating pressures from capital inflows,0.0,False,0,0,0,if tighter monetary conditions risk exacerbating pressures from capital inflows,0.0,0.0,0.06796013066465811,1,1
20150904_1_27_1_3,as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,0.0,False,0,0,0,as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,0.0,0.0,0.0704167275359936,1,1
20091107_1_4_1_1,"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver , particularly in advanced economies",0.0,False,0,0,0,"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver , particularly in advanced economies",0.0,0.0,0.07194175881578357,1,1
20130905_1_14_1_1,"Additional unconventional monetary support targeted long term refinancing operations , lower collateral haircuts could also help reduce fragmentation and restore monetary transmission",,True,1,1,future,"Additional unconventional monetary support targeted long term refinancing operations , lower collateral haircuts could also help reduce fragmentation and restore monetary transmission",1.0,1.0,0.07226077353659899,1,1
20120225_1_9_1_1,Targeted programs to ease,0.0,False,0,0,0,Targeted programs to ease,0.0,0.0,0.07243077485215443,1,1
20090903_1_31_1_2,which will need to be mopped up,0.0,False,0,0,0,which will need to be mopped up,0.0,0.0,0.07427668079485372,1,1
20091107_1_12_1_2,when fiscal retrenchment begins,0.0,False,0,0,0,when fiscal retrenchment begins,0.0,0.0,0.07457641009422489,1,1
20150904_1_3_1_1,"In advanced economies , accommodative monetary policy remains essential",,True,1,1,present,"In advanced economies , accommodative monetary policy remains essential",0.0,1.0,0.07554175725736112,0,0
20121105_1_14_1_1,"In Japan , further monetary easing may also be needed to reach the 1 percent inflation goal",,True,1,1,past,"In Japan , further monetary easing may also be needed to reach the 1 percent inflation goal",1.0,1.0,0.07749462576389887,1,1
20171006_3_1_1_1,External rebalancing should continue,0.0,False,0,0,0,External rebalancing should continue,0.0,0.0,0.07811187177571743,1,1
20091107_1_18_1_1,"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",,True,-1,-1,future,"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",-1.0,1.0,0.07903791652873071,1,1
20160226_4_5_1_1,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0.0,False,0,0,0,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0.0,0.0,0.07986554144727165,1,1
20090708_1_10_1_1,The Fund 's financial stress indices for the major advanced economies have all,0.0,False,0,0,0,The Fund 's financial stress indices for the major advanced economies have all,0.0,0.0,0.08064023703481649,1,1
20110218_1_5_1_1,"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",,True,1,1,present,"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",0.0,1.0,0.0814728816915139,0,0
20160721_1_25_1_2,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0.0,False,0,0,0,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0.0,0.0,0.08483723265488496,1,1
20130719_1_2_1_1,Supporting growth and creating jobs is the main challenge in the major advanced economies,0.0,False,0,0,0,Supporting growth and creating jobs is the main challenge in the major advanced economies,0.0,0.0,0.08489617288376239,1,1
20150904_1_26_1_2,if capital flow reversals materialize ,0.0,False,0,0,0,"if capital flow reversals materialize ,",0.0,0.0,0.08957797934054068,1,1
20171006_3_2_1_1,"While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances ",0.0,False,0,0,0,"While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances ,",0.0,0.0,0.09029801226512524,1,1
20160226_1_7_1_1,"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0.0,False,0,0,0,"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0.0,0.0,0.09274662440045967,1,1
20170705_1_4_1_2,it would also support external adjustment ,0.0,False,0,0,0,"it would also support external adjustment ,",0.0,0.0,0.09380504984760507,1,1
20150209_1_10_1_1,The boost to demand from lower oil prices is thus welcome,0.0,False,0,0,0,The boost to demand from lower oil prices is thus welcome,0.0,0.0,0.0940430347404384,1,1
20160721_1_5_1_2,should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,0.0,False,0,0,0,should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,0.0,0.0,0.09449798719523872,1,1
20090903_1_12_2_2,that policy tightening may be needed in some countries,,True,-1,-1,past,that policy tightening may be needed in some countries,-1.0,1.0,0.09578910155779141,1,1
20110218_1_6_1_1,"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0.0,False,0,0,0,"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0.0,0.0,0.09609240749090342,1,1
20130221_1_5_1_2,policy in the major advanced economies should remain accommodative,,True,1,1,future,policy in the major advanced economies should remain accommodative,0.0,0.0,0.09775432974362153,0,0
20160226_4_3_1_1,Those commodity exporters,0.0,False,0,0,0,Those commodity exporters,0.0,0.0,0.10194246986065947,1,1
20140219_1_21_1_1,"Credible macroeconomic policies and frameworks , alongside exchange rate flexibility are needed to weather the turbulence",0.0,False,0,0,0,"Credible macroeconomic policies and frameworks , alongside exchange rate flexibility are needed to weather the turbulence",0.0,0.0,0.10291765308835532,1,1
20100604_1_1_1_2,economies can start tightening policies now,,True,-1,-1,future,economies can start tightening policies now,-1.0,1.0,0.10961904366356812,1,1
20090903_1_1_1_1,"While approaches have differed , major central banks have acted effectively to support economic activity and credit creation",0.0,False,0,0,0,"While approaches have differed , major central banks have acted effectively to support economic activity and credit creation",0.0,0.0,0.10993093274713273,1,1
20150209_1_25_1_1,The scope to do so will require credible macroeconomic policies and frameworks ,0.0,False,0,0,0,"The scope to do so will require credible macroeconomic policies and frameworks ,",0.0,0.0,0.11118039648167255,1,1
20150209_1_26_1_1,"Nonetheless , some economies for example , Turkey",0.0,False,0,0,0,"Nonetheless , some economies for example , Turkey",0.0,0.0,0.11257663836523402,1,1
20130418_1_22_1_1,Economies with external surpluses should provide room for monetary tightening by allowing currencies to appreciate ,,True,0,0,future,"Economies with external surpluses should provide room for monetary tightening by allowing currencies to appreciate ,",0.0,0.0,0.1138607503926301,1,1
20091107_1_2_1_3,although coordination on some specific fronts is desirable,0.0,False,0,0,0,although coordination on some specific fronts is desirable,0.0,0.0,0.11417055114459318,1,1
20150904_1_13_1_2,the normalization is expected to be gradual,0.0,False,0,0,0,the normalization is expected to be gradual,0.0,0.0,0.11840322571657769,1,1
20160721_1_25_1_1,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0.0,False,0,0,0,"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0.0,0.0,0.11860149381969265,1,1
20091107_1_15_1_2,"For most countries , the risks presented by keeping stimulus in place too long suggest",0.0,False,0,0,0,"For most countries , the risks presented by keeping stimulus in place too long suggest",0.0,0.0,0.12210401708990015,1,1
20140219_1_27_1_1,Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,0.0,False,0,0,0,Policy priorities are thus for a coherent macroeconomic policy mix with a credible nominal anchor and good communication,0.0,0.0,0.12231249529973565,1,1
20140917_1_34_1_1,Countries should continue to rebuild monetary and fiscal policy space,,True,0,0,future,Countries should continue to rebuild monetary and fiscal policy space,0.0,0.0,0.12386978012827554,1,1
20091107_1_10_1_1,Further advancing the process of financial restructuring and balance sheet repair including bank recapitalization remains a priority to achieve a healthy financial system,0.0,False,0,0,0,Further advancing the process of financial restructuring and balance sheet repair including bank recapitalization remains a priority to achieve a healthy financial system,0.0,0.0,0.12777930859036157,1,1
20140219_1_12_1_1,National authorities should commit to provide sufficient national backstops ,0.0,False,0,0,0,"National authorities should commit to provide sufficient national backstops ,",0.0,0.0,0.13302483841020207,1,1
20171006_4_1_1_1,the proposed adjustments to the policy mix would also contribute to more sustainable growth,0.0,False,0,0,0,the proposed adjustments to the policy mix would also contribute to more sustainable growth,0.0,0.0,0.13425293643476965,1,1
20140917_1_29_1_1,The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,0.0,False,0,0,0,The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,0.0,0.0,0.13520866291132982,1,1
20130221_1_15_1_3,where currencies are undervalued,0.0,False,0,0,0,where currencies are undervalued,0.0,0.0,0.1371480606064941,1,1
20130719_1_31_1_1,Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,0.0,False,0,0,0,Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,0.0,0.0,0.13890808709577807,1,1
20130418_1_3_1_2,that stabilizes and reduces debt even more urgent,0.0,False,0,0,0,that stabilizes and reduces debt even more urgent,0.0,0.0,0.13952505415043925,1,1
20140219_1_6_1_1,"There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans",0.0,False,0,0,0,"There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans",0.0,0.0,0.14026969493074548,1,1
20141115_1_3_1_3,"that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization",,True,0,0,past,"that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization",0.0,0.0,0.1435081093705376,1,1
20091107_1_19_1_1,The challenges of placing fiscal policy on a sustainable path both political and economic are greater than for normalizing monetary policy,0.0,False,0,0,0,The challenges of placing fiscal policy on a sustainable path both political and economic are greater than for normalizing monetary policy,0.0,0.0,0.14523152249736782,1,1
20111015_1_14_1_1,There is scope for lower ECB policy rates,0.0,False,0,0,0,There is scope for lower ECB policy rates,0.0,0.0,0.14537031927787336,1,1
20160721_1_6_1_1,"In the euro area , policymakers should work together to demonstrate their continuing commitment to the E.U",0.0,False,0,0,0,"In the euro area , policymakers should work together to demonstrate their continuing commitment to the E.U",0.0,0.0,0.14576235467419763,1,1
20151115_1_15_1_1,"An effective monetary policy communication strategy will remain essential , particularly in an environment of higher financial market volatility",,True,1,1,future,"An effective monetary policy communication strategy will remain essential , particularly in an environment of higher financial market volatility",0.0,0.0,0.14906913851229908,0,0
20150209_1_25_1_2,which has proven essential in coping with volatile financial conditions in the past,0.0,False,0,0,0,which has proven essential in coping with volatile financial conditions in the past,0.0,0.0,0.15074916346925094,1,1
20140219_1_25_1_1,"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",,True,1,1,past,"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",0.0,0.0,0.15526197318690693,0,0
20160226_1_8_1_1,"Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms",0.0,False,0,0,0,"Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms",0.0,0.0,0.1566941871277765,1,1
20110415_1_10_1_2,"that are operating closer to , or above , capacity .",0.0,False,0,0,0,"that are operating closer to , or above , capacity .",0.0,0.0,0.15737288018767637,1,1
20100227_1_3_1_1,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0.0,False,0,0,0,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0.0,0.0,0.16008137849187376,1,1
20130719_1_11_1_2,that prevent a solid return to growth,0.0,False,0,0,0,that prevent a solid return to growth,0.0,0.0,0.16161425246690142,1,1
20171006_3_5_1_2,where the structural overcapacity of the financial sector elevates operation costs and reduces profitability,0.0,False,0,0,0,where the structural overcapacity of the financial sector elevates operation costs and reduces profitability,0.0,0.0,0.16352520159020334,1,1
20090903_1_28_1_1,"Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms",0.0,False,0,0,0,"Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms",0.0,0.0,0.16438448957777474,1,1
20150209_1_32_1_1,Some will have to strengthen their monetary frameworks to avert the possibility,0.0,False,0,0,0,Some will have to strengthen their monetary frameworks to avert the possibility,0.0,0.0,0.16944990115090908,1,1
20100423_1_11_1_1,"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",,True,-1,1,past,"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",-1.0,1.0,0.17246045744672223,1,0
20100904_1_14_2_1,"where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued",0.0,False,0,0,0,"where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued",0.0,0.0,0.17373710190072933,1,1
20140219_1_5_1_1,"With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States",0.0,False,0,0,0,"With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States",0.0,1.0,0.1799171507737375,1,1
20160226_4_5_1_2,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0.0,False,0,0,0,that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0.0,0.0,0.18051263611881985,1,1
20130719_1_19_1_1,There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,0.0,False,0,0,0,There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,0.0,0.0,0.18281260937470822,1,1
20140219_1_2_1_3,in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,0.0,False,0,0,0,in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,0.0,0.0,0.18291028811916477,1,1
20141115_1_20_1_1,"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",0.0,False,0,0,0,"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",0.0,0.0,0.18354511695419062,1,1
20110709_1_10_1_2,"that seek to insulate domestic markets from high world prices for example , export bans or subsidies ",0.0,False,0,0,0,"that seek to insulate domestic markets from high world prices for example , export bans or subsidies ,",0.0,0.0,0.1844335154678871,1,1
